cohort,0,1,2,3,4,5,6,7,8,9,10,11,12,13
2025-06,1.0,0.5714285714285714,0.43478260869565216,0.3198757763975155,0.2888198757763975,0.2236024844720497,0.2204968944099379,0.16770186335403728,0.13043478260869565,0.13975155279503104,0.12732919254658384,0.13043478260869565,0.10248447204968944,0.09006211180124224
2025-07,1.0,0.5714285714285714,0.46900269541778977,0.38005390835579517,0.33962264150943394,0.3018867924528302,0.24258760107816713,0.20754716981132076,0.215633423180593,0.1778975741239892,0.16172506738544473,0.14016172506738545,0.14824797843665768,
2025-08,1.0,0.5212464589235127,0.4164305949008499,0.33994334277620397,0.2776203966005666,0.24929178470254956,0.21813031161473087,0.18696883852691218,0.1558073654390935,0.18696883852691218,0.1558073654390935,0.14730878186968838,,
2025-09,1.0,0.6036585365853658,0.4725609756097561,0.38414634146341464,0.3170731707317073,0.28353658536585363,0.2621951219512195,0.18292682926829268,0.16158536585365854,0.15548780487804878,0.1524390243902439,,,
2025-10,1.0,0.5079365079365079,0.43492063492063493,0.326984126984127,0.2920634920634921,0.24126984126984127,0.19365079365079366,0.1746031746031746,0.12380952380952381,0.14603174603174604,,,,
2025-11,1.0,0.6170212765957447,0.4133738601823708,0.3556231003039514,0.3100303951367781,0.270516717325228,0.2127659574468085,0.22188449848024316,0.19756838905775076,,,,,
2025-12,1.0,0.5718954248366013,0.4215686274509804,0.3627450980392157,0.2973856209150327,0.2549019607843137,0.23202614379084968,0.19607843137254902,,,,,,
2026-01,1.0,0.5602240896358543,0.4677871148459384,0.34173669467787116,0.30532212885154064,0.25770308123249297,0.22969187675070027,,,,,,,
2026-02,1.0,0.5538461538461539,0.39692307692307693,0.32,0.27076923076923076,0.23384615384615384,,,,,,,,
2026-03,1.0,0.5496894409937888,0.4440993788819876,0.35714285714285715,0.30434782608695654,,,,,,,,,
2026-04,1.0,0.5433526011560693,0.3988439306358382,0.315028901734104,,,,,,,,,,
2026-05,1.0,0.5306748466257669,0.42024539877300615,,,,,,,,,,,
